1.480136866,0.183327463,8.075437313
1.389099833,0.129367835,8.988532399
1.17746325,0.1014155,10.06460725
0.992700639,0.124659425,11.05095527
0.766627542,0.201467071,11.78281825
0.532449123,0.405361428,11.72590497
0.392982949,1.04813318,10.99980968
0.268785082,2.25558023,9.070130564
0.218637743,4.79216965,6.65438249
0.187382474,8.180672165,4.339283505
0.185886546,11.5584066,2.043234799
0.219965789,13.33198553,0.838665789
0.311939948,13.74254522,0.283877441
0.400647162,12.91908013,0.108155895
0.601177685,10.98056886,0.060446711
1.099394746,8.479963887,0.084244871
2.061089857,5.71664374,0.026679081
7.717189076,2.338112605,0.027694118
10.99672345,0.912260982,0.079512975
12.58519505,0.425578406,0.029045743
12.79020826,0.18464025,0.050459222
12.57377855,0.115701946,0.115350973
12.23595299,0.113374833,0.125402207
11.3832218,0.111226377,0.119871156
11.47041071,0.123938265,0.099914796
11.15815043,0.103789264,0.096520639
10.63108258,0.104808101,0.097316024
10.11556289,0.111284865,0.099830341
9.519288778,0.129349299,0.177767335
8.849265067,0.23835011,0.413968543
8.236653908,0.508981941,0.78794097
7.610114238,0.831279888,1.423582601
7.074904425,1.276445891,2.202813527
6.489793023,1.732589147,2.948775969
6.038429328,2.207960924,3.621364034
5.517873973,2.621743836,3.984549315
4.995692562,2.942815537,4.166777466
4.639630236,3.070887244,4.139071496
4.293378295,3.110970698,3.997307287
3.993255422,3.092950602,3.818448193
3.683104874,3.022084387,3.638593907
3.365192314,2.860087949,3.344973256
3.03070566,2.715670755,3.047863208
2.7334024,2.517867324,2.759840004
2.519519291,2.34518922,2.478149362
2.276819207,2.150508518,2.22589858
2.108281685,1.976142055,1.957391193
1.863978033,1.8145081,1.803851533
1.630803693,1.656575538,1.66175792
1.486367916,1.487256488,1.487492943
1.327945044,1.310515827,1.310716087
1.151955672,1.180945242,1.188390992
1.011955698,1.014752697,1.013454091
0.889291421,0.901131112,0.891628853
0.760390024,0.751147949,0.753495495
0.653115003,0.652846969,0.655066687
0.54436463,0.553337781,0.54517492
0.46981955,0.447110068,0.442211339
0.362389123,0.383827543,0.391737998
