3.2154,2.8692,22.743,4.2937
2.3535,2.7608,24.197,3.8646
1.7562,2.9747,26.272,3.7884
1.3752,3.5312,28.157,3.5446
1.0467,4.9004,28.074,3.6132
1.0515,8.597,26.943,4.5174
1.4826,14.135,24.975,4.948
2.1282,19.58,21.861,4.3534
2.8089,23.638,17.868,4.4665
3.5818,27.542,14.056,4.6057
4.6258,30.638,10.546,3.8116
5.639,32.666,8.7219,3.0802
5.6837,31.07,7.3469,2.674
6.0289,31.433,7.0672,2.1907
5.9467,28.612,6.2064,1.2283
7.6623,24.788,5.2904,0.70013
14.931,22.534,5.2246,0.77814
23.183,18.721,4.8612,1.4748
27.449,13.848,3.7178,2.0928
24.451,7.7392,1.9139,1.8985
22.901,4.4114,1.0357,1.9417
23.25,3.0787,0.79985,2.3029
20.965,2.096,0.57251,2.7193
18.701,1.6263,0.60581,3.3926
19.45,1.9872,1.1174,4.4879
19.728,2.5451,1.6387,4.7223
18.328,2.9372,1.8157,3.8684
17.778,3.6839,2.1082,3.4067
17.256,4.6806,2.6498,2.997
17.121,5.5676,3.2477,2.8335
16.02,5.7286,3.3695,3.6162
14.873,5.65,3.2598,6.3011
14.181,5.7227,3.2106,12.096
14.153,6.1957,3.4852,18.874
15.303,7.5352,4.4165,23.569
16.512,9.614,5.9494,26.079
16.529,11.444,7.7405,26.885
16.097,12.335,9.624,26.412
15.531,12.171,11.019,24.624
14.597,11.721,11.67,22.104
14.728,12.803,13.088,20.997
15.959,15.046,15.173,20.71
15.775,15.349,15.153,18.62
13.972,13.532,13.185,15.729
12.66,12.142,11.919,14.105
11.84,11.39,11.384,13.404
10.763,10.508,10.469,12.869
9.7578,9.6748,9.4417,12.023
9.0175,8.9834,8.6542,10.863
8.2762,8.2233,7.9215,9.5136
7.3215,7.2742,7.0983,8.1535
6.375,6.3717,6.2699,7.014
5.5348,5.5735,5.4537,6.2585
4.8274,4.8577,4.7067,5.7679
4.0741,4.0587,3.9068,5.0406
3.3265,3.28,3.156,4.1365
2.6761,2.6114,2.5351,3.2745
2.3203,2.2668,2.2254,2.7686
2.0089,2.0089,1.9729,2.3392
