0.16563,0.46697,0.25897,0.3636,0.38555,0.023,0.25427,0,0.08847,0.33507,0.09763,0.42421,0.03319,0.49335,0.14302,0.10055,0.64344,0.61684,0.54953,0.53863,0.34977,0.12293,0.18107,0.07118,0.00637,0.0088,0.12676,0.78423,0,0.314,0.2903,0,0.14039,0.28926,0.01081,0.50146,0.05971,0.12579,0.18145,0.14746,0.26305,0.0998,0.00922,0.31547,0.11429,0.01719,0.17981,0.06607,0.00992,0.15601,0.00179,0.18008,0.27324,0.20829,0.19095,0,0.37402,0.02021,0.3189,0.0807,0.45584,0.02416,0.01522,0.01758,0.27775,0.01796,0.23065,0.01513,0.68361,0.1818,0.1572,0.06829,0.4738,0.53414,0.63221,0.62505,0.3754,0.14501,0.01714,0.05098,0.00517,0.00967,0.26269,0.19354,0.00178,0,0.04053,0.0159,0.09227,0.04546,0.02403,0.03976,0.04744,0.00507,0,0
0.15058,0.4716,0.2682,0.40277,0.41738,0.02072,0.26966,0.00275,0.08185,0.34956,0.10985,0.44164,0.03536,0.52205,0.15631,0.11628,0.66205,0.61988,0.5735,0.55305,0.35926,0.12196,0.18671,0.07571,0.0135,0.01592,0.16489,0.82886,0,0.31524,0.28632,0.00743,0.1459,0.32238,0.01776,0.52436,0.07684,0.14329,0.18159,0.1554,0.27341,0.09601,0.00983,0.31805,0.11897,0.03112,0.19615,0.07622,0.02078,0.14825,0,0.17619,0.28348,0.21462,0.18289,0.00849,0.37906,0.02186,0.31184,0.09006,0.45152,0.02284,0.01436,0.03141,0.28966,0.0228,0.25407,0.01084,0.70115,0.18163,0.15767,0.07031,0.47042,0.53838,0.64727,0.63564,0.39872,0.15021,0.02474,0.05135,0.01441,0.00915,0.26514,0.19154,0.00425,0.00045,0.04851,0.01914,0.09008,0.04808,0.03324,0.04326,0.05218,0.00955,0.01392,0
0.13078,0.46986,0.24444,0.46827,0.45373,0.02104,0.3001,0,0.08457,0.35645,0.11975,0.49171,0.04194,0.55539,0.17572,0.1258,0.69178,0.63145,0.59054,0.57454,0.3582,0.1275,0.19221,0.08291,0.00927,0.01908,0.19813,0.85181,0,0.31997,0.27858,0.00376,0.15673,0.33474,0.02389,0.52211,0.07972,0.14154,0.20755,0.16866,0.27983,0.0971,0.01091,0.32758,0.12117,0.04302,0.206,0.08126,0.01745,0.13476,0.01214,0.18203,0.28154,0.23363,0.19397,0.00296,0.3871,0.03277,0.28919,0.08843,0.47187,0.02432,0.01826,0.03413,0.32084,0.02399,0.29823,0.01109,0.71814,0.18033,0.16773,0.0675,0.46724,0.56085,0.68133,0.66855,0.40167,0.15702,0.02355,0.04644,0.01535,0.01246,0.26781,0.19475,0.0041,0.00508,0.05272,0.01537,0.09531,0.04334,0.02891,0.04502,0.05427,0.00893,0.01201,0
0.11186,0.44367,0.19969,0.52553,0.47621,0.02486,0.32558,0.00394,0.07407,0.34703,0.13636,0.51074,0.05224,0.55495,0.19441,0.13235,0.69718,0.62727,0.60126,0.56668,0.35744,0.11755,0.19219,0.08951,0.01657,0.02185,0.22973,0.8378,0,0.32063,0.27103,0.00756,0.16346,0.34306,0.01954,0.51367,0.07257,0.15426,0.22817,0.17877,0.27792,0.09647,0.0114,0.32625,0.12133,0.04362,0.21582,0.08685,0.02201,0.10353,0.01385,0.18651,0.27864,0.23649,0.19517,0.01154,0.37852,0.03875,0.25811,0.08996,0.45899,0.02189,0.01993,0.0397,0.33143,0.02098,0.32394,0.01497,0.70361,0.17436,0.17491,0.05988,0.46427,0.57461,0.68036,0.66657,0.38802,0.15421,0.0303,0.04847,0.01303,0.00998,0.27101,0.18734,0.00365,0.00537,0.04781,0.02452,0.09203,0.034,0.02803,0.0388,0.05229,0.01631,0.01583,0
0.09445,0.42419,0.15928,0.54166,0.50872,0.03216,0.37653,0.00542,0.06815,0.32941,0.13743,0.5458,0.06377,0.55087,0.23303,0.15645,0.69721,0.62258,0.62805,0.57389,0.36551,0.11921,0.20771,0.10472,0.0193,0.01866,0.21442,0.85455,0,0.31915,0.27374,0.01055,0.18305,0.32904,0.03309,0.5208,0.07472,0.16497,0.23248,0.22035,0.2824,0.08942,0.01284,0.32569,0.12558,0.04929,0.22009,0.09196,0.02553,0.07854,0.02614,0.18751,0.2821,0.25434,0.21083,0.01467,0.36699,0.04559,0.23704,0.08743,0.47039,0.03018,0.01846,0.05518,0.38107,0.02296,0.35209,0.01706,0.71265,0.18394,0.1806,0.06372,0.46473,0.61041,0.687,0.69153,0.40126,0.15702,0.02728,0.05242,0.0107,0.01297,0.26211,0.18708,0.00674,0.01514,0.05213,0.03256,0.09288,0.0307,0.02839,0.0364,0.05301,0.02291,0.02681,0.0014
0.07929,0.40231,0.11982,0.53739,0.52366,0.0428,0.42837,0.00666,0.06345,0.29556,0.1376,0.55623,0.09013,0.53772,0.2806,0.18859,0.6917,0.61334,0.64036,0.55563,0.36994,0.11698,0.23565,0.1361,0.01957,0.02117,0.18616,0.85256,0.0005,0.3188,0.27858,0.01474,0.21611,0.29951,0.0475,0.51244,0.06907,0.17747,0.22682,0.26111,0.2726,0.08797,0.01118,0.3217,0.11887,0.048,0.23511,0.0952,0.026,0.06478,0.04348,0.18352,0.27837,0.26748,0.23286,0.02697,0.34478,0.06897,0.20695,0.08879,0.45905,0.02985,0.02386,0.07871,0.41737,0.0291,0.38397,0.01737,0.70798,0.17831,0.19903,0.06853,0.46307,0.63802,0.67065,0.70457,0.39812,0.15165,0.02875,0.05725,0.00878,0.01092,0.25144,0.18461,0.01126,0.01562,0.05615,0.04718,0.08301,0.02677,0.02886,0.03854,0.05973,0.03742,0.04211,0.0033
0.06185,0.38177,0.09229,0.50827,0.54439,0.0591,0.47899,0.00816,0.05415,0.26691,0.12457,0.55561,0.10889,0.52184,0.33926,0.25003,0.69624,0.60643,0.6622,0.55579,0.40293,0.11456,0.26922,0.18979,0.02073,0.0214,0.1478,0.85324,0,0.32259,0.27538,0.02495,0.25377,0.26086,0.07468,0.52102,0.06686,0.2024,0.22876,0.31693,0.26309,0.08199,0.01057,0.32508,0.11628,0.05324,0.25199,0.10483,0.02591,0.04887,0.07573,0.18226,0.27572,0.28514,0.25557,0.04307,0.32476,0.10598,0.1798,0.08545,0.46089,0.02663,0.02515,0.11619,0.4647,0.02925,0.39606,0.01555,0.71155,0.18076,0.21276,0.07308,0.45987,0.68388,0.67295,0.73234,0.39982,0.14936,0.03101,0.05813,0.01063,0.00653,0.23862,0.18715,0.00944,0.02,0.05499,0.07422,0.0716,0.02222,0.02534,0.03335,0.06006,0.06109,0.06333,0.00389
0.05084,0.35081,0.06427,0.46263,0.54263,0.07584,0.51089,0.01004,0.04422,0.22074,0.11139,0.53217,0.10905,0.48953,0.39188,0.30689,0.69638,0.59685,0.67495,0.55217,0.4595,0.11475,0.29474,0.24166,0.02023,0.02598,0.10003,0.85122,0.00116,0.31166,0.26156,0.03181,0.28175,0.2079,0.12613,0.5195,0.06775,0.22179,0.22815,0.36847,0.25053,0.0768,0.01032,0.32229,0.11503,0.05556,0.26676,0.10815,0.02864,0.04152,0.1226,0.17999,0.27662,0.29893,0.27583,0.07289,0.29442,0.15813,0.15247,0.08714,0.45967,0.03,0.0265,0.17241,0.4962,0.03203,0.39428,0.01727,0.71115,0.17211,0.21651,0.07666,0.46226,0.72718,0.65821,0.7426,0.39634,0.14945,0.02851,0.05985,0.0083,0.01047,0.22667,0.18749,0.0134,0.02644,0.05822,0.10255,0.06106,0.01825,0.02286,0.03118,0.06312,0.08724,0.09088,0.00479
0.04198,0.32519,0.04819,0.41211,0.5338,0.08517,0.51863,0.0108,0.03606,0.18154,0.09439,0.50001,0.09409,0.46141,0.41623,0.3566,0.69286,0.59282,0.68342,0.5593,0.53548,0.11804,0.31347,0.28352,0.02328,0.03125,0.0681,0.86402,0.00143,0.31474,0.25755,0.03597,0.29679,0.16239,0.19482,0.52275,0.06712,0.24127,0.23869,0.40842,0.23249,0.07074,0.01132,0.32259,0.11555,0.06168,0.27502,0.11908,0.03693,0.03245,0.19279,0.18173,0.27847,0.30943,0.28889,0.10566,0.26621,0.23431,0.13307,0.088,0.46219,0.0324,0.02978,0.25052,0.51379,0.04038,0.38278,0.01829,0.71447,0.16983,0.21961,0.08469,0.47124,0.75728,0.65546,0.74828,0.39702,0.14769,0.02986,0.07051,0.00748,0.00699,0.21757,0.18485,0.01877,0.03333,0.06721,0.14054,0.05383,0.01474,0.02054,0.02897,0.07069,0.11846,0.12062,0.0065
0.0364,0.30444,0.03991,0.35363,0.50457,0.07702,0.49668,0.01412,0.03221,0.15361,0.07886,0.46531,0.0716,0.43072,0.40122,0.38176,0.68331,0.586,0.70104,0.55876,0.60148,0.13218,0.31767,0.31169,0.03052,0.05673,0.04751,0.85744,0.00259,0.33937,0.27236,0.04495,0.29548,0.12782,0.2533,0.52289,0.0685,0.25225,0.2514,0.41801,0.21276,0.06748,0.01205,0.3228,0.1164,0.07144,0.28071,0.17025,0.06362,0.02825,0.29588,0.18288,0.27688,0.32118,0.29443,0.16039,0.24142,0.33191,0.11902,0.08681,0.46383,0.04085,0.03665,0.34617,0.51488,0.0748,0.35108,0.01885,0.71605,0.18586,0.22671,0.09935,0.50225,0.76959,0.65517,0.74351,0.39555,0.1529,0.03066,0.11399,0.00752,0.00851,0.20531,0.18819,0.03951,0.07099,0.10612,0.21358,0.04527,0.01408,0.01977,0.03085,0.11484,0.18515,0.18524,0.00702
