0.059778,-0.12871,0.58684,5.8499e-34
0.11759,-0.26278,1.2587,4.3225e-33
0.12364,-0.29766,1.5852,3.194e-32
0.082103,-0.24279,1.6046,2.36e-31
0.0099844,-0.1341,1.506,1.7438e-30
-0.082727,0.046739,1.1525,1.2885e-29
-0.17194,0.2709,0.71219,9.521e-29
-0.2492,0.50797,0.38413,7.0352e-28
-0.34282,0.8219,0.18897,5.1983e-27
-0.45725,1.263,0.055469,3.8411e-26
-0.5148,1.7094,-0.049905,2.8382e-25
-0.45048,1.9571,-0.10395,2.0972e-24
-0.29792,2.025,-0.1337,1.5496e-23
-0.071857,1.9414,-0.14443,1.145e-22
0.21978,1.7318,-0.14118,8.4605e-22
0.55919,1.4054,-0.12739,6.2515e-21
0.90742,0.99843,-0.10624,4.6193e-20
1.2025,0.57087,-0.081892,3.4132e-19
1.3751,0.20697,-0.058573,2.522e-18
1.3772,-0.037758,-0.039574,1.8636e-17
1.2145,-0.1522,-0.025534,1.377e-16
0.93145,-0.16842,-0.015555,1.0175e-15
0.65779,-0.14201,-0.0091624,7.5181e-15
0.41958,-0.09937,-0.0051564,5.5552e-14
0.24511,-0.060915,-0.0027843,4.1047e-13
0.13019,-0.033119,-0.0014182,3.033e-12
0.069777,-0.018035,-0.00073737,2.2411e-11
0.033901,-0.0088567,-0.00035076,1.656e-10
0.01697,-0.0044476,-0.00017443,1.2236e-09
0.0086503,-0.0022672,-8.8916e-05,9.0413e-09
0.0043314,-0.0011352,-4.4522e-05,6.6807e-08
0.0021513,-0.00056388,-2.211e-05,4.9364e-07
0.0010309,-0.00027021,-1.0596e-05,3.6475e-06
0.00049643,-0.00013012,-5.1027e-06,2.6951e-05
0.00024822,-6.5058e-05,-2.5513e-06,0.00019908
0.00012411,-3.2529e-05,-1.2757e-06,0.0014679
6.2013e-05,-1.6254e-05,-6.374e-07,0.010678
3.0886e-05,-8.0953e-06,-3.1745e-07,0.070765
1.5319e-05,-4.0151e-06,-1.5745e-07,0.29683
7.598e-06,-1.9915e-06,-7.8094e-08,0.52289
3.7684e-06,-9.8769e-07,-3.8736e-08,0.58297
1.869e-06,-4.8985e-07,-1.9214e-08,0.59218
0,0,0,0.59345
0,0,0,0.59362
0,0,0,0.59365
0,0,0,0.59365
0,0,0,0.59365
0,0,0,0.59365
0,0,0,0.59365
0,0,0,0.59365
0,0,0,0.59365
0,0,0,0.59362
0,0,0,0.59345
0,0,0,0.59218
0,0,0,0.58297
0,0,0,0.52289
0,0,0,0.29683
0,0,0,0.070765
0,0,0,0.010678
